Freq,Success,Trials,Group
288,23,1310112,TF
289,0,17340,Roku
289,22,1340382,TF
290,1,16240,Roku
290,26,1333130,TF
291,0,15423,Roku
291,23,1273707,TF
292,0,21900,Roku
292,21,1289472,TF
293,0,14064,Roku
293,16,1284219,TF
294,0,18522,Roku
294,27,1277724,TF
295,0,15635,Roku
295,25,1292100,TF
296,0,18056,Roku
296,12,1286416,TF
297,3,15444,Roku
297,16,1256310,TF
298,0,14900,Roku
298,21,1234018,TF
299,2,17641,Roku
299,17,1195701,TF
300,2,15600,Roku
300,21,1239000,TF
301,1,18963,Roku
301,17,1225672,TF
302,0,17516,Roku
302,24,1204074,TF
303,0,16665,Roku
303,17,1202001,TF
304,1,12160,Roku
304,20,1213872,TF
305,1,14640,Roku
305,19,1197735,TF
306,0,16524,Roku
306,18,1190034,TF
307,1,16885,Roku
307,16,1181029,TF
308,0,15092,Roku
308,11,1168552,TF
309,0,16377,Roku
309,18,1133412,TF
310,0,13020,Roku
310,22,1147310,TF
311,0,19282,Roku
311,18,1147901,TF
312,0,16536,Roku
312,13,1129440,TF
313,0,18154,Roku
313,13,1169994,TF
314,0,15072,Roku
314,22,1142960,TF
315,0,16065,Roku
315,20,1148805,TF
316,0,18328,Roku
316,16,1078824,TF
317,0,15533,Roku
317,21,1118376,TF
318,1,15900,Roku
318,19,1116180,TF
319,0,17226,Roku
319,19,1146167,TF
320,1,18560,Roku
320,20,1109440,TF
321,1,14445,Roku
321,14,1070856,TF
322,0,20286,Roku
322,17,1104460,TF
323,0,15504,Roku
323,10,1098846,TF
324,0,17172,Roku
324,14,1052028,TF
325,2,15275,Roku
325,18,1060475,TF
326,0,15322,Roku
326,10,1038636,TF
327,1,15042,Roku
327,7,1088583,TF
328,2,20664,Roku
328,26,1046320,TF
329,0,11844,Roku
329,18,1038653,TF
330,0,14850,Roku
330,21,1031580,TF
331,0,12247,Roku
331,14,1071447,TF
332,0,13944,Roku
332,18,1035176,TF
333,0,18315,Roku
333,12,978687,TF
334,0,14028,Roku
334,16,1014692,TF
335,1,14405,Roku
335,16,1017395,TF
336,0,17136,Roku
336,17,1010352,TF
337,0,14154,Roku
337,14,992802,TF
338,0,15886,Roku
338,8,981890,TF
339,0,16950,Roku
339,9,970896,TF
340,0,11900,Roku
340,15,990420,TF
341,0,9207,Roku
341,15,975260,TF
342,0,10602,Roku
342,13,957600,TF
343,0,11319,Roku
343,17,977207,TF
344,0,12040,Roku
344,16,987968,TF
345,0,16560,Roku
345,17,961860,TF
346,0,15224,Roku
346,16,948040,TF
347,0,15962,Roku
347,14,954597,TF
348,0,13224,Roku
348,11,939948,TF
349,0,17101,Roku
349,15,945790,TF
350,0,10150,Roku
350,14,933450,TF
351,1,11583,Roku
351,14,918216,TF
352,1,10560,Roku
352,13,910976,TF
353,0,10590,Roku
353,15,914976,TF
354,0,14514,Roku
354,11,951552,TF
355,0,15620,Roku
355,12,917320,TF
356,0,14952,Roku
356,11,898544,TF
357,1,14994,Roku
357,7,905709,TF
358,1,14320,Roku
358,8,910394,TF
359,1,10052,Roku
359,13,886730,TF
360,0,14400,Roku
360,8,899640,TF
361,1,12996,Roku
361,8,871093,TF
362,0,10136,Roku
362,10,893054,TF
363,1,14883,Roku
363,11,853413,TF
364,2,14560,Roku
364,11,869232,TF
365,0,10950,Roku
365,11,877095,TF
366,0,14640,Roku
366,14,881694,TF
367,0,16515,Roku
367,17,856945,TF
368,0,13248,Roku
368,7,863696,TF
369,0,11439,Roku
369,12,831726,TF
370,0,9990,Roku
370,8,849150,TF
371,0,11501,Roku
371,13,814716,TF
372,0,7068,Roku
372,10,856716,TF
373,0,8952,Roku
373,10,853051,TF
374,1,10846,Roku
374,12,850850,TF
375,0,11250,Roku
375,12,808125,TF
376,0,9776,Roku
376,13,817800,TF
377,0,9802,Roku
377,7,795093,TF
378,2,11718,Roku
378,13,817992,TF
379,0,10612,Roku
379,10,819777,TF
380,0,15960,Roku
380,13,790400,TF
381,0,12192,Roku
381,9,786003,TF
382,0,12224,Roku
382,6,794560,TF
383,0,13022,Roku
383,16,780171,TF
384,0,11136,Roku
384,9,779520,TF
385,1,16170,Roku
385,10,784630,TF
386,1,10422,Roku
386,12,799406,TF
387,0,8901,Roku
387,9,765486,TF
388,0,11640,Roku
388,12,777552,TF
389,0,11281,Roku
389,6,757383,TF
390,0,9360,Roku
390,4,786240,TF
391,0,12903,Roku
391,8,778090,TF
392,0,10584,Roku
392,9,764792,TF
393,0,11790,Roku
393,12,765171,TF
394,1,9062,Roku
394,7,756480,TF
395,0,9875,Roku
395,7,758795,TF
396,0,11484,Roku
396,10,760320,TF
397,1,15086,Roku
397,9,711424,TF
398,1,13532,Roku
398,9,771324,TF
399,0,8778,Roku
399,8,722589,TF
400,1,20000,Roku
400,7,728400,TF
401,0,14436,Roku
401,5,701349,TF
402,2,11658,Roku
402,5,706314,TF
403,0,10478,Roku
403,9,710489,TF
404,0,14544,Roku
404,8,739724,TF
405,0,11745,Roku
405,5,691335,TF
406,0,12586,Roku
406,7,715778,TF
407,0,15466,Roku
407,8,722425,TF
408,1,10608,Roku
408,10,700128,TF
409,0,12679,Roku
409,2,688347,TF
410,0,14760,Roku
410,8,687160,TF
411,0,10686,Roku
411,13,674040,TF
412,0,11948,Roku
412,8,684332,TF
413,0,10738,Roku
413,5,704991,TF
414,0,10350,Roku
414,10,695934,TF
415,1,13695,Roku
415,14,721270,TF
416,1,9152,Roku
416,3,688896,TF
417,0,10008,Roku
417,6,680544,TF
418,0,10450,Roku
418,3,698060,TF
419,0,11313,Roku
419,7,679618,TF
420,0,10920,Roku
420,5,644700,TF
421,1,12630,Roku
421,4,666022,TF
422,0,10550,Roku
422,12,685328,TF
423,0,12690,Roku
423,4,646767,TF
424,0,10600,Roku
424,5,672040,TF
425,1,12325,Roku
425,6,654075,TF
426,0,11076,Roku
426,8,644538,TF
427,1,14518,Roku
427,10,663131,TF
428,1,12840,Roku
428,6,667680,TF
429,0,12870,Roku
429,5,628056,TF
430,0,12040,Roku
430,7,629090,TF
431,0,13361,Roku
431,10,638742,TF
432,1,9504,Roku
432,12,625104,TF
433,0,8660,Roku
433,6,618324,TF
434,0,9114,Roku
434,11,664020,TF
435,0,11745,Roku
435,3,652500,TF
436,2,10900,Roku
436,5,632200,TF
437,0,8740,Roku
437,9,648508,TF
438,1,9636,Roku
438,4,639042,TF
439,1,10975,Roku
439,0,604503,TF
440,1,9240,Roku
440,3,616880,TF
441,0,11466,Roku
441,5,578592,TF
442,1,12818,Roku
442,6,623662,TF
443,0,11075,Roku
443,6,604695,TF
444,1,7548,Roku
444,5,594072,TF
445,0,15130,Roku
445,6,627450,TF
446,0,10258,Roku
446,6,621278,TF
447,1,8940,Roku
447,1,590934,TF
448,0,11200,Roku
448,4,617344,TF
449,0,9429,Roku
449,4,588190,TF
450,0,14850,Roku
450,3,558450,TF
451,0,11275,Roku
451,9,586300,TF
452,1,9944,Roku
452,8,590764,TF
453,0,10872,Roku
453,5,587541,TF
454,0,7264,Roku
454,3,599734,TF
455,0,15470,Roku
455,7,566930,TF
456,0,11400,Roku
456,2,559968,TF
457,0,6855,Roku
457,4,578105,TF
458,0,8702,Roku
458,6,570210,TF
459,0,11934,Roku
459,6,564111,TF
460,0,14720,Roku
460,8,547860,TF
461,0,10142,Roku
461,2,571640,TF
462,0,6468,Roku
462,3,557172,TF
463,0,11575,Roku
463,2,564860,TF
464,0,13456,Roku
464,4,571648,TF
465,0,13020,Roku
465,6,596130,TF
466,0,10718,Roku
466,5,560598,TF
467,0,9340,Roku
467,2,574877,TF
468,0,9360,Roku
468,8,541008,TF
469,0,9849,Roku
469,6,519183,TF
470,2,9400,Roku
470,2,537210,TF
471,0,12717,Roku
471,7,523752,TF
472,0,11328,Roku
472,10,552240,TF
473,0,9933,Roku
473,4,540166,TF
474,0,9954,Roku
474,5,528984,TF
475,0,8550,Roku
475,5,549575,TF
476,0,9520,Roku
476,9,550732,TF
477,0,10494,Roku
477,6,527085,TF
478,0,7648,Roku
478,3,535838,TF
479,0,11017,Roku
479,5,501513,TF
480,0,5280,Roku
480,3,537120,TF
481,0,11544,Roku
481,7,539682,TF
482,0,13014,Roku
482,3,517668,TF
483,0,13524,Roku
483,5,500871,TF
484,0,9680,Roku
484,2,484484,TF
485,0,8245,Roku
485,10,509735,TF
486,0,6318,Roku
486,14,495720,TF
487,0,10227,Roku
487,6,483104,TF
488,0,7808,Roku
488,3,524112,TF
489,0,6846,Roku
489,6,492912,TF
490,0,5390,Roku
490,3,487550,TF
491,0,6874,Roku
491,2,498856,TF
492,0,7380,Roku
492,5,515616,TF
493,0,8874,Roku
493,5,495958,TF
494,0,7904,Roku
494,8,498940,TF
495,0,8415,Roku
495,4,496980,TF
496,0,7440,Roku
496,3,478144,TF
497,0,8946,Roku
497,2,496503,TF
498,0,5976,Roku
498,2,485052,TF
499,0,6487,Roku
499,2,488521,TF
500,1,8500,Roku
500,7,493500,TF
501,0,11523,Roku
501,8,465930,TF
502,0,15060,Roku
502,3,459832,TF
503,0,7545,Roku
503,7,472820,TF
504,0,10080,Roku
504,4,459648,TF
505,0,11615,Roku
505,3,489345,TF
506,0,9108,Roku
506,7,518144,TF
507,1,9126,Roku
507,3,452751,TF
508,1,9652,Roku
508,8,487172,TF
509,0,11198,Roku
509,3,445375,TF
510,0,8160,Roku
510,3,469710,TF
511,1,10731,Roku
511,4,463988,TF
512,0,6656,Roku
512,3,423936,TF
513,0,10260,Roku
513,5,452979,TF
514,0,15420,Roku
514,3,475450,TF
515,0,9785,Roku
515,5,445990,TF
516,0,4128,Roku
516,3,421572,TF
517,0,7238,Roku
517,1,446171,TF
518,0,7252,Roku
518,7,455322,TF
519,0,7785,Roku
519,7,449454,TF
520,0,11960,Roku
520,8,416520,TF
521,0,7815,Roku
521,3,427220,TF
522,0,9396,Roku
522,4,435348,TF
523,0,9937,Roku
523,5,438797,TF
524,0,8384,Roku
524,7,455356,TF
525,0,10500,Roku
525,6,439425,TF
526,0,8416,Roku
526,3,425008,TF
527,0,9486,Roku
527,3,420019,TF
528,0,7392,Roku
528,6,426624,TF
529,0,8464,Roku
529,3,416852,TF
530,0,6360,Roku
530,4,401210,TF
531,0,12213,Roku
531,4,468873,TF
532,0,5852,Roku
532,6,441560,TF
533,0,5863,Roku
533,4,422669,TF
534,0,9612,Roku
534,6,403704,TF
535,0,8025,Roku
535,3,368615,TF
536,0,8040,Roku
536,1,422368,TF
537,0,12351,Roku
537,2,409194,TF
538,1,6994,Roku
538,4,427710,TF
539,0,5929,Roku
539,3,398321,TF
540,0,10800,Roku
540,3,402840,TF
541,0,7033,Roku
541,4,400340,TF
542,0,11924,Roku
542,3,395118,TF
543,0,11403,Roku
543,0,411594,TF
544,0,7616,Roku
544,3,374816,TF
545,1,12535,Roku
545,3,426190,TF
546,1,6552,Roku
546,3,406224,TF
547,0,7111,Roku
547,5,406421,TF
548,1,8768,Roku
548,2,396752,TF
549,0,12078,Roku
549,5,402966,TF
550,0,6600,Roku
550,2,425700,TF
551,0,7714,Roku
551,4,393965,TF
552,0,6072,Roku
552,4,398544,TF
553,0,8848,Roku
553,2,390971,TF
554,0,4986,Roku
554,4,399434,TF
555,0,8325,Roku
555,4,400710,TF
556,0,8340,Roku
556,2,398096,TF
557,0,8355,Roku
557,6,391014,TF
558,0,6138,Roku
558,2,394506,TF
559,0,6708,Roku
559,0,390741,TF
560,0,8960,Roku
560,2,403760,TF
561,0,6732,Roku
561,3,366894,TF
562,0,9554,Roku
562,7,372606,TF
563,0,11823,Roku
563,5,360320,TF
564,0,9588,Roku
564,1,367164,TF
565,0,7345,Roku
565,4,364425,TF
566,0,6226,Roku
566,4,376390,TF
567,0,5103,Roku
567,1,398034,TF
568,0,8520,Roku
568,4,367496,TF
569,0,9673,Roku
569,4,359039,TF
570,0,10830,Roku
570,3,387030,TF
571,0,5139,Roku
571,1,355733,TF
572,0,5720,Roku
572,1,357500,TF
573,0,5730,Roku
573,4,370158,TF
574,0,13776,Roku
574,0,375396,TF
575,0,4025,Roku
575,3,335800,TF
576,0,4032,Roku
576,1,330048,TF
577,0,4039,Roku
577,2,362933,TF
578,0,7514,Roku
578,2,367030,TF
579,0,5211,Roku
579,3,327135,TF
580,0,8120,Roku
580,3,386860,TF
581,0,6391,Roku
581,2,360220,TF
582,0,6984,Roku
582,3,359094,TF
583,0,6413,Roku
583,1,343387,TF
584,0,8176,Roku
584,4,337552,TF
585,0,8775,Roku
585,3,346320,TF
586,0,6446,Roku
586,2,356288,TF
587,1,6457,Roku
587,1,336938,TF
588,1,4704,Roku
588,3,334572,TF
589,0,5890,Roku
589,2,348688,TF
590,0,7670,Roku
590,4,350460,TF
591,0,4728,Roku
591,3,354009,TF
592,0,4144,Roku
592,6,351056,TF
593,0,4744,Roku
593,2,329115,TF
594,0,6534,Roku
594,6,335016,TF
595,0,4165,Roku
595,1,352835,TF
596,0,10728,Roku
596,2,333164,TF
597,0,6567,Roku
597,3,334320,TF
598,0,3588,Roku
598,0,328302,TF
599,1,7188,Roku
599,3,327653,TF
600,0,10200,Roku
600,2,336000,TF
601,0,6611,Roku
601,2,320934,TF
602,1,8428,Roku
602,2,332906,TF
603,0,3015,Roku
603,4,316575,TF
604,0,7248,Roku
604,0,321932,TF
605,0,4840,Roku
605,2,312180,TF
606,0,7878,Roku
606,2,326028,TF
607,0,3035,Roku
607,0,329601,TF
608,1,3040,Roku
608,3,357504,TF
609,0,8526,Roku
609,2,309372,TF
610,0,11590,Roku
610,3,287310,TF
611,0,7943,Roku
611,2,298168,TF
612,1,12240,Roku
612,6,321912,TF
613,0,4904,Roku
613,3,308339,TF
614,0,5526,Roku
614,4,294720,TF
615,0,4920,Roku
615,0,330870,TF
616,0,8008,Roku
616,3,290752,TF
617,0,4936,Roku
617,3,320223,TF
618,0,9270,Roku
